date_of_birth,race_ethnicity:confidence,religion,religion:confidence,sexual_orientation,sexual_orientation:confidence,year_of_award,year_of_award:confidence,award,movie,person
01-ιπε-00,1,Na,1,Straight,1,1935,1,Best Actor,It Happened One Night,Clark Gable
11-Dec-1883,1,Anglican/episcopalian,1,Straight,1,1936,1,Best Actor,The Informer,Victor McLaglen
22-Sep-1895,1,Jewish,1,Straight,1,1937,1,Best Actor,The Story of Louis Pasteur,Paul Muni
05-ιπε-00,1,Roman Catholic,1,Straight,1,1938,1,Best Actor,Captains Courageous,Spencer Tracy
05-ιπε-00,1,Roman Catholic,1,Straight,1,1939,1,Best Actor,Boys Town,Spencer Tracy
18-ιπε-00,1,Na,1,Straight,1,1940,1,Best Actor,Goodbye Mr. Chips,Robert Donat
20-ιπε-00,1,Presbyterian,1,Straight,1,1941,1,Best Actor,The Philadelphia Story,Jimmy Stewart
07-ιπε-00,1,Roman Catholic,1,Straight,1,1942,1,Best Actor,Sergeant York,Gary Cooper
17-Jul-1899,1,Roman Catholic,1,Straight,1,1943,1,Best Actor,Yankee Doodle Dandy,James Cagney
26-May-1887,1,Na,1,Straight,1,1944,1,Best Actor,Watch on the Rhine,Paul Lukas
03-ιπε-00,1,Roman Catholic,0.6667,Straight,1,1945,1,Best Actor,Going My Way,Bing Crosby
03-ιπε-00,1,Na,0.6897,Straight,1,1946,0.6897,Best Actor,The Lost Weekend,Ray Milland
31-Aug-1897,1,Na,1,Straight,1,1947,1,Best Actor,The Best Years of Our Lives,Fredric March
9-Feb-1891,1,Na,1,Straight,1,1948,1,Best Actor,A Double Life,Ronald Colman
22-ιπε-00,1,Na,1,Bisexual,1,1949,1,Best Actor,Hamlet,Laurence Olivier
09-ιπε-00,1,Na,1,Straight,1,1950,1,Best Actor,All The King's Men,Broderick Crawford
08-ιπε-00,1,Na,1,Straight,1,1951,1,Best Actor,Cyrano de Bergerac,Jose Ferrer
25-Dec-1899,1,Na,1,Straight,1,1952,1,Best Actor,The Africa Queen,Humphrey Bogart
07-ιπε-00,1,Roman Catholic,1,Straight,1,1953,0.9642,Best Actor,High Noon,Gary Cooper
17-ιπε-00,1,Na,1,Straight,1,1954,1,Best Actor,Stalag 17,William Holden
03-ιπε-00,1,Deist,1,Bisexual,1,1955,1,Best Actor,On the Waterfront,Marlon Brando
24-ιπε-00,1,Na,1,Straight,1,1956,1,Best Actor,Marty,Ernest Borgnine
11-ιπε-00,1,Na,1,Straight,1,1957,1,Best Actor,The King and I,Yul Brynner
02-ιπε-00,1,Roman Catholic,1,Bisexual,1,1958,1,Best Actor,The Bridge on the River Kwai,Alec Guinness
01-ιπε-00,1,Na,1,Straight,1,1959,1,Best Actor,Separate Tables,David Niven
04-ιπε-00,1,Protestant,1,Straight,1,1960,1,Best Actor,Ben-hur,Charlton Heston
02-ιπε-00,1,Protestant,1,Straight,1,1961,1,Best Actor,Elmer Gantry,Burt Lancaster
08-ιπε-00,1,Na,1,Straight,1,1962,1,Best Actor,Judgement at Nuremberg,Maximilian Schell
05-ιπε-00,1,Roman Catholic,1,Straight,1,1963,1,Best Actor,To Kill a Mockingbird,Gregory Peck
20-ιπε-00,1,Deist,1,Straight,1,1964,1,Best Actor,Lilies of the Field,Sidney Poitier
05-ιπε-00,1,Na,1,Straight,1,1965,1,Best Actor,My Fair Lady,Rex Harrison
19-ιπε-00,1,Na,1,Straight,1,1966,1,Best Actor,Cat Ballou,Lee Marvin
21-ιπε-00,1,Na,1,Straight,1,1967,1,Best Actor,A Man For All Seasons,Paul Scofield
14-ιπε-00,1,Lutheran,1,Straight,1,1968,1,Best Actor,In the Heat of the Night,Rod Steiger
09-ιπε-00,1,Na,1,Straight,1,1969,1,Best Actor,Charly,Cliff Robertson
26-ιπε-00,1,Roman Catholic,1,Straight,1,1970,1,Best Actor,True Grit,John Wayne
18-ιπε-00,1,Na,1,Straight,1,1971,1,Best Actor,Patton,George C. Scott
