date_of_birth,race_ethnicity,religion,sexual_orientation,year_of_award,movie,person
31-דצמ-43,Multiracial,Quaker,Straight,1983,Gandhi,Ben Kingsley
05-ינו-31,White,Na,Straight,1984,Tender Mercies,Robert Duvall
24-אוק-39,Middle Eastern,Na,Straight,1985,Amadeus,F. Murray Abraham
20-מרץ-50,White,Lutheran,Straight,1986,Kiss of the Spider Woman,William Hurt
26-ינו-25,White,Jewish,Straight,1987,The Color of Money,Paul Newman
25-ספט-44,White,Jewish,Straight,1988,Wall Street,Michael Douglas
08-אוג-37,White,Jewish,Straight,1989,Rainman,Dustin Hoffman
29-אפר-57,White,Na,Straight,1990,My Left Foot,Daniel Day-Lewis
19-ספט-48,White,Na,Straight,1991,Reversal of Fortune,Jeremy Irons
31-דצמ-37,White,Na,Straight,1992,Silence of the Lambs,Anthony Hopkins
25-אפר-40,White,Roman Catholic,Straight,1993,Scent of a Woman,Al Pacino
09-יול-56,White,Born-Again Christian,Straight,1994,Philadelphia,Tom Hanks
09-יול-56,White,Born-Again Christian,Straight,1995,Forrest Gump,Tom Hanks
07-ינו-64,White,Roman Catholic,Straight,1996,Leaving Las Vegas,Nicolas Cage
06-יול-51,White,Na,Straight,1997,Shine,Geoffrey Rush
22-אפר-37,White,Atheist,Straight,1997,As Good as It Gets,Jack Nicholson
27-אוק-52,White,Na,Straight,1999,Life is Beautiful,Roberto Benigni
26-יול-59,White,Na,Matter of Dispute,2000,American Beauty,Kevin Spacey
07-אפר-64,White,Na,Straight,2001,Gladiator,Russell Crowe
28-דצמ-54,Black,Protestant,Straight,2002,Training Day,Denzel Washington
14-אפר-73,White,Jewish,Straight,2003,The Pianist,Adrien Brody
17-אוג-60,White,Roman Catholic,Straight,2003,Mystic River,Sean Penn
13-דצמ-67,Black,Baptist,Straight,2005,Ray,Jamie Foxx
23-יול-67,White,Na,Straight,2006,Capote,Philip Seymour Hoffman
15-יול-61,Black,Na,Straight,2007,The Last King of Scotland,Forest Whitaker
29-אפר-57,White,Na,Straight,2008,There Will Be Blood,Daniel Day-Lewis
17-אוג-60,White,Roman Catholic,Straight,2009,Milk,Sean Penn
04-דצמ-49,White,Lutheran,Straight,2010,Crazy Heart,Jeff Bridges
10-ספט-60,White,Na,Straight,2011,The King's Speech,Colin Firth
19-יונ-72,White,Na,Straight,2012,The Artist,Jean Dujardin
